title,label,score,event
愛されなくても君がいる,あ,:purple_circle: :blue_circle: ,:blue_circle: :green_circle: 
愛して愛して愛して,あ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
アイスドロップ,あ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
アイディスマイル,あ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
アイデンティティ,あ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
アイドル新鋭隊,あ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
Iなんです,あ,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
アイノマテリアル,あ,:purple_circle: :red_circle: ,:green_circle: :blue_circle: 
アイロニ,あ,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
Awake Now,あ,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
阿吽のビーツ,あ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
青色絵具,あ,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
青く駆けろ！,あ,:yellow_circle: :purple_circle: ,:yellow_circle: :red_circle: 
悪ノ娘,あ,:purple_circle: :red_circle: ,:red_circle: :purple_circle: 
悪ノ召使,あ,:purple_circle: :yellow_circle: ,:yellow_circle: :green_circle: 
悪魔の踊り方,あ,:purple_circle: :yellow_circle: ,:yellow_circle: :green_circle: 
アサガオの散る頃に,あ,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
アスノヨゾラ哨戒班,あ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
あったかいと,あ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
天ノ弱,あ,:red_circle: :yellow_circle: ,:yellow_circle: :red_circle: 
ÅMARA(大未来電脳),あ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
雨とペトラ,あ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
alive,あ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
アンノウン・マザーグース,あ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
アンハッピーリフレイン,あ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
いかないで,い,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
「１」,い,:purple_circle: :red_circle: ,:blue_circle: :green_circle: 
1925,い,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
いちにのさんで,い,:red_circle: :purple_circle: ,:yellow_circle: :blue_circle: 
命に嫌われている,い,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
イフ,い,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
威風堂々,い,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
インビジブル,い,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
いーあるふぁんくらぶ,い,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Where shall we go?,う,:purple_circle: :red_circle: ,:green_circle: :blue_circle: 
泡沫未来,う,:blue_circle: :red_circle: ,:blue_circle: :green_circle: 
うっせぇわ,う,:purple_circle: :red_circle: ,:red_circle: :green_circle: 
虚ろを扇ぐ,う,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ウミユリ海底譚,う,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
裏表ラバーズ,う,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
